,Sender,Titel,Genre,Sparte,Wochentag,Datum,Sendungsanfang,Sendungslänge,Sendungende
6797,CC,Bob's Burgers  USA 2013,Comedyserie,Serie,Do,06.08.,2020-06-08 08:44:00,0 days 00:20:00.000000000,2020-06-08 09:04:00
6798,ARTE,Stadt Land Kunst  F,Magazin,Report,Do,06.08.,2020-06-08 08:45:00,0 days 00:55:00.000000000,2020-06-08 09:40:00
6799,RTL-N,Leverage  USA 2009,Krimiserie,Serie,Do,06.08.,2020-06-08 08:45:00,0 days 00:50:00.000000000,2020-06-08 09:35:00
6800,PRO7,The Big Bang Theory  USA 2015,Sitcom,Serie,Do,06.08.,2020-06-08 08:50:00,0 days 00:25:00.000000000,2020-06-08 09:15:00
6801,VOX,Verklag mich doch!  D,Realitydoku,Unterhaltung,Do,06.08.,2020-06-08 08:50:00,0 days 01:00:00.000000000,2020-06-08 09:50:00
6802,2NEO,"Stadt, Land, Lecker  D",Kochduell,Unterhaltung,Do,06.08.,2020-06-08 08:50:00,0 days 00:45:00.000000000,2020-06-08 09:35:00
6803,DMAX,Hardcore Pawn – Das härteste Pfandhaus Detroits  USA,Dokusoap,Unterhaltung,Do,06.08.,2020-06-08 08:50:00,0 days 00:30:00.000000000,2020-06-08 09:20:00
6804,ARD,Tagesschau  D,Nachrichten,,Do,06.08.,2020-06-08 09:00:00,0 days 00:05:00.000000000,2020-06-08 09:05:00
6805,ZDF,heute Xpress,Nachrichten,,Do,06.08.,2020-06-08 09:00:00,0 days 00:05:00.000000000,2020-06-08 09:05:00
6806,RTL,Unter uns  D 2020,Daily Soap,Serie,Do,06.08.,2020-06-08 09:00:00,0 days 00:30:00.000000000,2020-06-08 09:30:00
6807,RTL2,Die Straßencops Süd – Jugend im Visier  D,Dokusoap,Unterhaltung,Do,06.08.,2020-06-08 09:00:00,0 days 01:00:00.000000000,2020-06-08 10:00:00
6808,3SAT,ZiB,Nachrichten,,Do,06.08.,2020-06-08 09:00:00,0 days 00:05:00.000000000,2020-06-08 09:05:00
6809,CC,South Park  USA 2008,Zeichentrickserie,Serie,Do,06.08.,2020-06-08 09:04:00,0 days 00:28:00.000000000,2020-06-08 09:32:00
6810,ARD,Live nach Neun  D,Magazin,Unterhaltung,Do,06.08.,2020-06-08 09:05:00,0 days 00:50:00.000000000,2020-06-08 09:55:00
6811,ZDF,Volle Kanne – Service täglich  D,Verbrauchertipps,Report,Do,06.08.,2020-06-08 09:05:00,0 days 01:25:00.000000000,2020-06-08 10:30:00
6812,3SAT,Traumhäuser  D 2015,Doku,Report,Do,06.08.,2020-06-08 09:05:00,0 days 00:30:00.000000000,2020-06-08 09:35:00
6813,FES,Brisant,Boulevardmagazin,Unterhaltung,Do,06.08.,2020-06-08 09:05:00,0 days 00:40:00.000000000,2020-06-08 09:45:00
6814,SIXX,Verliebt in Berlin  D 2006,Telenovela,Serie,Do,06.08.,2020-06-08 09:05:00,0 days 00:30:00.000000000,2020-06-08 09:35:00
6815,PRO7M,Infomercials,Werbesendung,,Do,06.08.,2020-06-08 09:05:00,0 days 01:00:00.000000000,2020-06-08 10:05:00
6816,SERVU,Servus Wetter  A,Wetterbericht,Report,Do,06.08.,2020-06-08 09:08:00,0 days 00:02:00.000000000,2020-06-08 09:10:00
6817,SERVU,Terra Mater – Dehesa: Spaniens Serengeti,Doku,Report,Do,06.08.,2020-06-08 09:10:00,0 days 01:00:00.000000000,2020-06-08 10:10:00
6818,PRO7,How I Met Your Mother  USA 2009,Sitcom,Serie,Do,06.08.,2020-06-08 09:15:00,0 days 00:25:00.000000000,2020-06-08 09:40:00
6819,RTLPL,Das Jugendgericht,Gerichtsshow,Unterhaltung,Do,06.08.,2020-06-08 09:15:00,0 days 00:50:00.000000000,2020-06-08 10:05:00
6820,DMAX,Hardcore Pawn – Das härteste Pfandhaus Detroits  USA,Dokusoap,Unterhaltung,Do,06.08.,2020-06-08 09:20:00,0 days 00:30:00.000000000,2020-06-08 09:50:00
6821,RTL,Alles was zählt  D 2020,Daily Soap,Serie,Do,06.08.,2020-06-08 09:30:00,0 days 00:30:00.000000000,2020-06-08 10:00:00
6822,CC,South Park  USA 2008,Zeichentrickserie,Serie,Do,06.08.,2020-06-08 09:32:00,0 days 00:28:00.000000000,2020-06-08 10:00:00
6823,K1,Blue Bloods – Crime Scene New York  USA 2014,Krimiserie,Serie,Do,06.08.,2020-06-08 09:35:00,0 days 00:55:00.000000000,2020-06-08 10:30:00
6824,3SAT,kinokino  D,Kinomagazin,Unterhaltung,Do,06.08.,2020-06-08 09:35:00,0 days 00:10:00.000000000,2020-06-08 09:45:00
6825,2NEO,Bares für Rares  D,Trödelshow,Unterhaltung,Do,06.08.,2020-06-08 09:35:00,0 days 00:55:00.000000000,2020-06-08 10:30:00
6826,RTL-N,Leverage  USA 2009,Krimiserie,Serie,Do,06.08.,2020-06-08 09:35:00,0 days 00:45:00.000000000,2020-06-08 10:20:00
6827,SIXX,Anna und die Liebe  D 2012,Telenovela,Serie,Do,06.08.,2020-06-08 09:35:00,0 days 00:25:00.000000000,2020-06-08 10:00:00
6828,PRO7,How I Met Your Mother  USA 2009,Sitcom,Serie,Do,06.08.,2020-06-08 09:40:00,0 days 00:25:00.000000000,2020-06-08 10:05:00
6829,ARTE,Gorillas unter Stress – Lebensraum am Limit  D 2019,Dokumentation,Report,Do,06.08.,2020-06-08 09:40:00,0 days 00:55:00.000000000,2020-06-08 10:35:00
6830,3SAT,Mit Maske nach Mallorca  D 2020,Reportagereihe,Report,Do,06.08.,2020-06-08 09:45:00,0 days 00:30:00.000000000,2020-06-08 10:15:00
6831,FES,Geld.Macht.Liebe  D 2009,Familienserie,Serie,Do,06.08.,2020-06-08 09:45:00,0 days 00:45:00.000000000,2020-06-08 10:30:00
6832,SAT1G,Unsere kleine Farm  USA 1982,Familienserie,Serie,Do,06.08.,2020-06-08 09:45:00,0 days 00:50:00.000000000,2020-06-08 10:35:00
6833,VOX,Verklag mich doch!  D,Realitydoku,Unterhaltung,Do,06.08.,2020-06-08 09:50:00,0 days 01:00:00.000000000,2020-06-08 10:50:00
6834,DMAX,Infomercial,Werbesendung,,Do,06.08.,2020-06-08 09:50:00,0 days 00:25:00.000000000,2020-06-08 10:15:00
6835,ARD,In aller Freundschaft – Die jungen Ärzte  D 2018,Krankenhausserie,Serie,Do,06.08.,2020-06-08 09:55:00,0 days 00:50:00.000000000,2020-06-08 10:45:00
6836,TELE5,Dauerwerbesendung,Werbesendung,,Do,06.08.,2020-06-08 09:55:00,0 days 02:00:00.000000000,2020-06-08 11:55:00
6837,RTL,Der Blaulicht Report  D,Dokusoap,Unterhaltung,Do,06.08.,2020-06-08 10:00:00,0 days 01:00:00.000000000,2020-06-08 11:00:00
6838,SAT1,Im Namen der Gerechtigkeit – Wir kämpfen für Sie!  D,Realitysoap,Unterhaltung,Do,06.08.,2020-06-08 10:00:00,0 days 01:00:00.000000000,2020-06-08 11:00:00
6839,RTL2,Frauentausch  D,Dokusoap,Unterhaltung,Do,06.08.,2020-06-08 10:00:00,0 days 02:00:00.000000000,2020-06-08 12:00:00
6840,SIXX,Anna und die Liebe  D 2012,Telenovela,Serie,Do,06.08.,2020-06-08 10:00:00,0 days 00:30:00.000000000,2020-06-08 10:30:00
6841,CC,South Park  USA 2008,Zeichentrickserie,Serie,Do,06.08.,2020-06-08 10:00:00,0 days 00:28:00.000000000,2020-06-08 10:28:00
6842,PRO7,Mike & Molly  USA 2013,Comedyserie,Serie,Do,06.08.,2020-06-08 10:05:00,0 days 00:25:00.000000000,2020-06-08 10:30:00
6843,PRO7M,Border Patrol Australia  AUS,Dokureihe,Report,Do,06.08.,2020-06-08 10:05:00,0 days 00:30:00.000000000,2020-06-08 10:35:00
6844,RTLPL,Die Schulermittler  D,Dokusoap,Unterhaltung,Do,06.08.,2020-06-08 10:05:00,0 days 00:30:00.000000000,2020-06-08 10:35:00
6845,SERVU,Planet Erde – Das Leben bahnt sich seinen Weg,Dokumentation,Report,Do,06.08.,2020-06-08 10:10:00,0 days 01:00:00.000000000,2020-06-08 11:10:00
6846,3SAT,Wilde Inseln: Sansibar  GB 2013,Dokureihe,Report,Do,06.08.,2020-06-08 10:15:00,0 days 00:45:00.000000000,2020-06-08 11:00:00
6847,DMAX,Steel Buddies – Stahlharte Geschäfte  D,Doku,Unterhaltung,Do,06.08.,2020-06-08 10:15:00,0 days 01:00:00.000000000,2020-06-08 11:15:00
6848,RTL-N,J.A.G. – Im Auftrag der Ehre  USA 1997,Actionserie,Serie,Do,06.08.,2020-06-08 10:20:00,0 days 00:45:00.000000000,2020-06-08 11:05:00
6849,CC,American Dad  USA 2014,Zeichentrickserie,Serie,Do,06.08.,2020-06-08 10:28:00,0 days 00:27:00.000000000,2020-06-08 10:55:00
6850,ZDF,Notruf Hafenkante  D 2011,Polizeiserie,Serie,Do,06.08.,2020-06-08 10:30:00,0 days 00:45:00.000000000,2020-06-08 11:15:00
6851,PRO7,Man with a Plan  USA 2018,Comedyserie,Serie,Do,06.08.,2020-06-08 10:30:00,0 days 00:25:00.000000000,2020-06-08 10:55:00
6852,K1,Blue Bloods – Crime Scene New York  USA 2015,Krimiserie,Serie,Do,06.08.,2020-06-08 10:30:00,0 days 00:50:00.000000000,2020-06-08 11:20:00
6853,2NEO,Bares für Rares  D,Trödelshow,Unterhaltung,Do,06.08.,2020-06-08 10:30:00,0 days 00:50:00.000000000,2020-06-08 11:20:00
6854,FES,Lindenstraße  BRD/D 2019,Familienserie,Serie,Do,06.08.,2020-06-08 10:30:00,0 days 00:30:00.000000000,2020-06-08 11:00:00
6855,SIXX,Anna und die Liebe  D 2012,Telenovela,Serie,Do,06.08.,2020-06-08 10:30:00,0 days 00:25:00.000000000,2020-06-08 10:55:00
6856,ARTE,Das Geheimnis der Affen – Kulturforschung bei Schimpansen  D 2014,Doku,Report,Do,06.08.,2020-06-08 10:35:00,0 days 00:55:00.000000000,2020-06-08 11:30:00
6857,SAT1G,Unsere kleine Farm  USA 1982,Familienserie,Serie,Do,06.08.,2020-06-08 10:35:00,0 days 00:55:00.000000000,2020-06-08 11:30:00
6858,PRO7M,Border Patrol Australia  AUS,Dokureihe,Report,Do,06.08.,2020-06-08 10:35:00,0 days 00:20:00.000000000,2020-06-08 10:55:00
6859,RTLPL,Die Schulermittler  D,Dokusoap,Unterhaltung,Do,06.08.,2020-06-08 10:35:00,0 days 00:30:00.000000000,2020-06-08 11:05:00
6860,ARD,Meister des Alltags  D,Wissensquiz,Unterhaltung,Do,06.08.,2020-06-08 10:45:00,0 days 00:30:00.000000000,2020-06-08 11:15:00
6861,VOX,vox nachrichten,Nachrichten,,Do,06.08.,2020-06-08 10:50:00,0 days 00:05:00.000000000,2020-06-08 10:55:00
6862,PRO7,Man with a Plan  USA 2018,Comedyserie,Serie,Do,06.08.,2020-06-08 10:55:00,0 days 00:25:00.000000000,2020-06-08 11:20:00
6863,VOX,"Mein Kind, dein Kind – Wie erziehst du denn?  D",Dokusoap,Unterhaltung,Do,06.08.,2020-06-08 10:55:00,0 days 01:05:00.000000000,2020-06-08 12:00:00
6864,SIXX,Anna und die Liebe  D 2012,Telenovela,Serie,Do,06.08.,2020-06-08 10:55:00,0 days 00:30:00.000000000,2020-06-08 11:25:00
6865,PRO7M,Border Patrol Australia  AUS,Dokureihe,Report,Do,06.08.,2020-06-08 10:55:00,0 days 00:25:00.000000000,2020-06-08 11:20:00
6866,CC,American Dad  USA 2014,Zeichentrickserie,Serie,Do,06.08.,2020-06-08 10:55:00,0 days 00:27:00.000000000,2020-06-08 11:22:00
6867,RTL,Der Blaulicht Report  D,Dokusoap,Unterhaltung,Do,06.08.,2020-06-08 11:00:00,0 days 01:00:00.000000000,2020-06-08 12:00:00
6868,SAT1,Im Namen der Gerechtigkeit – Wir kämpfen für Sie!  D,Realitysoap,Unterhaltung,Do,06.08.,2020-06-08 11:00:00,0 days 01:00:00.000000000,2020-06-08 12:00:00
6869,3SAT,Wie Elefanten denken  D,Geschichtsdoku,Report,Do,06.08.,2020-06-08 11:00:00,0 days 00:45:00.000000000,2020-06-08 11:45:00
6870,FES,Morden im Norden  D 2016,Krimiserie,Serie,Do,06.08.,2020-06-08 11:00:00,0 days 00:50:00.000000000,2020-06-08 11:50:00
6871,RTL-N,J.A.G. – Im Auftrag der Ehre  USA 1997,Actionserie,Serie,Do,06.08.,2020-06-08 11:05:00,0 days 00:55:00.000000000,2020-06-08 12:00:00
6872,RTLPL,Die Schulermittler  D,Dokusoap,Unterhaltung,Do,06.08.,2020-06-08 11:05:00,0 days 00:25:00.000000000,2020-06-08 11:30:00
6873,SERVU,Metropolis – Die Seele einer Stadt  GB 2015,Doku,Report,Do,06.08.,2020-06-08 11:10:00,0 days 00:58:00.000000000,2020-06-08 12:08:00
6874,ARD,Gefragt – Gejagt  D,Rateshow,Unterhaltung,Do,06.08.,2020-06-08 11:15:00,0 days 00:45:00.000000000,2020-06-08 12:00:00
6875,ZDF,SOKO Stuttgart  D 2010,Krimiserie,Serie,Do,06.08.,2020-06-08 11:15:00,0 days 00:45:00.000000000,2020-06-08 12:00:00
6876,DMAX,Deutschland 24/7 – Ohne uns läuft nichts!  D,Dokureihe,Report,Do,06.08.,2020-06-08 11:15:00,0 days 01:00:00.000000000,2020-06-08 12:15:00
6877,PRO7,Last Man Standing  USA 2013,Comedyserie,Serie,Do,06.08.,2020-06-08 11:20:00,0 days 00:25:00.000000000,2020-06-08 11:45:00
6878,K1,Without a Trace – Spurlos verschwunden  USA 2007,Krimiserie,Serie,Do,06.08.,2020-06-08 11:20:00,0 days 00:50:00.000000000,2020-06-08 12:10:00
6879,2NEO,Dinner Date  D,Dateshow,Unterhaltung,Do,06.08.,2020-06-08 11:20:00,0 days 00:45:00.000000000,2020-06-08 12:05:00
6880,PRO7M,Border Patrol Australia  AUS,Dokureihe,Report,Do,06.08.,2020-06-08 11:20:00,0 days 00:25:00.000000000,2020-06-08 11:45:00
6881,CC,Friends  USA 2004,Comedyserie,Serie,Do,06.08.,2020-06-08 11:22:00,0 days 00:28:00.000000000,2020-06-08 11:50:00
6882,SIXX,Betty in New York  USA 2019,Comedyserie,Serie,Do,06.08.,2020-06-08 11:25:00,0 days 00:55:00.000000000,2020-06-08 12:20:00
6883,ARTE,Familie Wolf – Gefährliche Nachbarn?  D 2017,Doku,Report,Do,06.08.,2020-06-08 11:30:00,0 days 00:45:00.000000000,2020-06-08 12:15:00
6884,SAT1G,Ein Engel auf Erden  USA 1984,Familienserie,Serie,Do,06.08.,2020-06-08 11:30:00,0 days 00:50:00.000000000,2020-06-08 12:20:00
6885,RTLPL,Die Schulermittler  D,Dokusoap,Unterhaltung,Do,06.08.,2020-06-08 11:30:00,0 days 00:30:00.000000000,2020-06-08 12:00:00
6886,PRO7,Last Man Standing  USA 2013,Comedyserie,Serie,Do,06.08.,2020-06-08 11:45:00,0 days 00:25:00.000000000,2020-06-08 12:10:00
6887,3SAT,Der Geschmack Europas  A 2015,Doku,Report,Do,06.08.,2020-06-08 11:45:00,0 days 00:30:00.000000000,2020-06-08 12:15:00
6888,PRO7M,Border Patrol Australia  AUS,Dokureihe,Report,Do,06.08.,2020-06-08 11:45:00,0 days 00:25:00.000000000,2020-06-08 12:10:00
6889,FES,Sturm der Liebe  D 2014,Telenovela,Serie,Do,06.08.,2020-06-08 11:50:00,0 days 00:45:00.000000000,2020-06-08 12:35:00
6890,CC,Friends  USA 2004,Comedyserie,Serie,Do,06.08.,2020-06-08 11:50:00,0 days 00:27:00.000000000,2020-06-08 12:17:00
6891,TELE5,Dauerwerbesendung,Werbesendung,,Do,06.08.,2020-06-08 11:55:00,0 days 02:00:00.000000000,2020-06-08 13:55:00
6892,ARD,Tagesschau  D,Nachrichten,,Do,06.08.,2020-06-08 12:00:00,0 days 00:15:00.000000000,2020-06-08 12:15:00
6893,ZDF,heute,,,Do,06.08.,2020-06-08 12:00:00,0 days 00:10:00.000000000,2020-06-08 12:10:00
6894,RTL,Punkt 12 – Das RTL-Mittagsjournal  D,Magazin,Unterhaltung,Do,06.08.,2020-06-08 12:00:00,0 days 02:00:00.000000000,2020-06-08 14:00:00
6895,SAT1,Anwälte im Einsatz  D,Realitysoap,Unterhaltung,Do,06.08.,2020-06-08 12:00:00,0 days 01:00:00.000000000,2020-06-08 13:00:00
6896,RTL2,Frauentausch  D,Dokusoap,Unterhaltung,Do,06.08.,2020-06-08 12:00:00,0 days 02:00:00.000000000,2020-06-08 14:00:00
6897,VOX,Shopping Queen  D,Stylingsoap,Unterhaltung,Do,06.08.,2020-06-08 12:00:00,0 days 01:00:00.000000000,2020-06-08 13:00:00
6898,RTL-N,J.A.G. – Im Auftrag der Ehre  USA 1997,Actionserie,Serie,Do,06.08.,2020-06-08 12:00:00,0 days 00:50:00.000000000,2020-06-08 12:50:00
6899,RTLPL,Das Strafgericht  D,Gerichtsshow,Unterhaltung,Do,06.08.,2020-06-08 12:00:00,0 days 00:55:00.000000000,2020-06-08 12:55:00
6900,2NEO,Monk  USA 2005,Krimiserie,Serie,Do,06.08.,2020-06-08 12:05:00,0 days 00:40:00.000000000,2020-06-08 12:45:00
6901,SERVU,Servus Wetter  A,Wetterbericht,Report,Do,06.08.,2020-06-08 12:08:00,0 days 00:02:00.000000000,2020-06-08 12:10:00
6902,ZDF,drehscheibe,Magazin,Report,Do,06.08.,2020-06-08 12:10:00,0 days 00:50:00.000000000,2020-06-08 13:00:00
6903,PRO7,2 Broke Girls  USA 2016,Sitcom,Serie,Do,06.08.,2020-06-08 12:10:00,0 days 00:30:00.000000000,2020-06-08 12:40:00
6904,K1,Castle  USA 2015,Krimiserie,Serie,Do,06.08.,2020-06-08 12:10:00,0 days 00:55:00.000000000,2020-06-08 13:05:00
6905,SERVU,Aufgedeckt – Rätsel der Geschichte  GB/Kan. 2013,Dokureihe,Report,Do,06.08.,2020-06-08 12:10:00,0 days 00:55:00.000000000,2020-06-08 13:05:00
6906,PRO7M,Border Patrol Australia  AUS,Dokureihe,Report,Do,06.08.,2020-06-08 12:10:00,0 days 00:30:00.000000000,2020-06-08 12:40:00
6907,ARD,ARD-Buffet,Infomagazin,Report,Do,06.08.,2020-06-08 12:15:00,0 days 00:45:00.000000000,2020-06-08 13:00:00
6908,3SAT,Servicezeit-Reportage Der Haushalts-Check mit Yvonne Willicks,Verbrauchertipps,Report,Do,06.08.,2020-06-08 12:15:00,0 days 00:30:00.000000000,2020-06-08 12:45:00
6909,ARTE,Wildes Thailand  GB 2017,Dokureihe,Report,Do,06.08.,2020-06-08 12:15:00,0 days 00:35:00.000000000,2020-06-08 12:50:00
6910,DMAX,Fang des Lebens – Der gefährlichste Job Alaskas  USA,Reportage,Report,Do,06.08.,2020-06-08 12:15:00,0 days 01:00:00.000000000,2020-06-08 13:15:00
6911,CC,Friends  USA 2003,Comedyserie,Serie,Do,06.08.,2020-06-08 12:17:00,0 days 00:30:00.000000000,2020-06-08 12:47:00
6912,SIXX,Total Dreamer – Träume werden wahr  Bras. 2015,Telenovela,Serie,Do,06.08.,2020-06-08 12:20:00,0 days 00:50:00.000000000,2020-06-08 13:10:00
6913,SAT1G,Dr. Quinn – Ärztin aus Leidenschaft  USA 1998,Westernserie,Serie,Do,06.08.,2020-06-08 12:20:00,0 days 00:50:00.000000000,2020-06-08 13:10:00
