,Sender,Titel,Genre,Sparte,Wochentag,Datum,Sendungsanfang,Sendungslänge,Sendungende
0,ZDF,ZDF.reportage  D 2020,Reportagereihe,Report,Mo,27.07.,2020-07-27 05:00:00,0 days 00:05:00.000000000,2020-07-27 05:05:00
1,PRO7,Undateable  USA 2015,Sitcom,Serie,Mo,27.07.,2020-07-27 05:00:00,0 days 00:19:00.000000000,2020-07-27 05:19:00
2,ARTE,Hindafing – Staffel 1  D 2017,Dramaserie,Serie,Mo,27.07.,2020-07-27 05:00:00,0 days 00:45:00.000000000,2020-07-27 05:45:00
3,SERVU,Das Wetterpanorama bei ServusTV  A,Nachrichten,,Mo,27.07.,2020-07-27 05:00:00,0 days 04:13:00.000000000,2020-07-27 09:13:00
4,SAT1G,Niedrig und Kuhnt – Kommissare ermitteln  D,Ermittlersoap,Unterhaltung,Mo,27.07.,2020-07-27 05:00:00,0 days 00:20:00.000000000,2020-07-27 05:20:00
5,PRO7M,Man vs. Food – Die XXL-Challenge!  USA 2009,Kochdoku,Unterhaltung,Mo,27.07.,2020-07-27 05:00:00,0 days 00:20:00.000000000,2020-07-27 05:20:00
6,ZDF,Filmgorillas  D,Film- und Serienmagazin,Unterhaltung,Mo,27.07.,2020-07-27 05:05:00,0 days 00:10:00.000000000,2020-07-27 05:15:00
7,RTL,Explosiv – Weekend  D,Boulevardmagazin,Unterhaltung,Mo,27.07.,2020-07-27 05:10:00,0 days 00:50:00.000000000,2020-07-27 06:00:00
8,TELE5,Digimon  Jap. 2002,Zeichentrickserie,Kinder  ab 8 Jahren,Mo,27.07.,2020-07-27 05:10:00,0 days 00:25:00.000000000,2020-07-27 05:35:00
9,CC,Ren & Stimpy  USA 1993,Zeichentrickserie,Kinder  ab 12 Jahren,Mo,27.07.,2020-07-27 05:14:00,0 days 00:23:00.000000000,2020-07-27 05:37:00
10,ZDF,Menschen – das Magazin  D,Magazin,Report,Mo,27.07.,2020-07-27 05:15:00,0 days 00:15:00.000000000,2020-07-27 05:30:00
11,2NEO,Inspector Barnaby: Mord mit Groove  GB 2007,TV-Krimi,Spielfilm,Mo,27.07.,2020-07-27 05:15:00,0 days 01:35:00.000000000,2020-07-27 06:50:00
12,SIXX,Tagesfrau  D,Porträt,Unterhaltung,Mo,27.07.,2020-07-27 05:15:00,0 days 00:05:00.000000000,2020-07-27 05:20:00
13,RTLPL,Das Jugendgericht,Gerichtsshow,Unterhaltung,Mo,27.07.,2020-07-27 05:15:00,0 days 00:45:00.000000000,2020-07-27 06:00:00
14,PRO7,New Girl  USA 2017,Sitcom,Serie,Mo,27.07.,2020-07-27 05:19:00,0 days 00:21:00.000000000,2020-07-27 05:40:00
15,3SAT,New York von oben  USA 2017,Dokuserie,Report,Mo,27.07.,2020-07-27 05:19:00,0 days 00:46:00.000000000,2020-07-27 06:05:00
16,VOX,CSI: NY  USA 2005,Krimiserie,Serie,Mo,27.07.,2020-07-27 05:20:00,0 days 00:40:00.000000000,2020-07-27 06:00:00
17,RTL-N,Das Strafgericht  D,Gerichtsshow,Unterhaltung,Mo,27.07.,2020-07-27 05:20:00,0 days 00:45:00.000000000,2020-07-27 06:05:00
18,SIXX,Tagesfrau  D,Porträt,Unterhaltung,Mo,27.07.,2020-07-27 05:20:00,0 days 00:15:00.000000000,2020-07-27 05:35:00
19,SAT1G,K 11 – Kommissare im Einsatz  D,Ermittlersoap,Unterhaltung,Mo,27.07.,2020-07-27 05:20:00,0 days 00:25:00.000000000,2020-07-27 05:45:00
20,PRO7M,Man vs. Food – Die XXL-Challenge!  USA 2009,Kochdoku,Unterhaltung,Mo,27.07.,2020-07-27 05:20:00,0 days 00:25:00.000000000,2020-07-27 05:45:00
21,K1,Achtung Kontrolle! Wir kümmern uns drum  D,Dokusoap,Report,Mo,27.07.,2020-07-27 05:25:00,0 days 00:40:00.000000000,2020-07-27 06:05:00
22,ARD,ZDF-Morgenmagazin,Magazin,Unterhaltung,Mo,27.07.,2020-07-27 05:30:00,0 days 03:30:00.000000000,2020-07-27 09:00:00
23,ZDF,ZDF-Morgenmagazin,Magazin,Unterhaltung,Mo,27.07.,2020-07-27 05:30:00,0 days 03:30:00.000000000,2020-07-27 09:00:00
24,SAT1,SAT.1-Frühstücksfernsehen  D,Magazin,Unterhaltung,Mo,27.07.,2020-07-27 05:30:00,0 days 04:30:00.000000000,2020-07-27 10:00:00
25,TELE5,Digimon  Jap. 2002,Zeichentrickserie,Kinder  ab 8 Jahren,Mo,27.07.,2020-07-27 05:35:00,0 days 00:25:00.000000000,2020-07-27 06:00:00
26,SIXX,Grey's Anatomy – Die jungen Ärzte  USA 2012,Ärzteserie,Serie,Mo,27.07.,2020-07-27 05:35:00,0 days 00:45:00.000000000,2020-07-27 06:20:00
27,CC,Ren & Stimpy  USA 1992,Zeichentrickserie,Kinder  ab 12 Jahren,Mo,27.07.,2020-07-27 05:37:00,0 days 00:23:00.000000000,2020-07-27 06:00:00
28,PRO7,Mike & Molly  USA 2013,Comedyserie,Serie,Mo,27.07.,2020-07-27 05:40:00,0 days 00:20:00.000000000,2020-07-27 06:00:00
29,DMAX,Highway Cops  AUS,Dokureihe,Report,Mo,27.07.,2020-07-27 05:40:00,0 days 00:20:00.000000000,2020-07-27 06:00:00
30,ARTE,Hindafing – Staffel 2  D 2019,Dramaserie,Serie,Mo,27.07.,2020-07-27 05:45:00,0 days 00:55:00.000000000,2020-07-27 06:40:00
31,FES,Tierärztin Dr. Mertens  D 2006,Familienserie,Serie,Mo,27.07.,2020-07-27 05:45:00,0 days 00:50:00.000000000,2020-07-27 06:35:00
32,SAT1G,K 11 – Kommissare im Einsatz  D,Ermittlersoap,Unterhaltung,Mo,27.07.,2020-07-27 05:45:00,0 days 00:20:00.000000000,2020-07-27 06:05:00
33,PRO7M,Man vs. Food – Die XXL-Challenge!  USA 2009,Kochdoku,Unterhaltung,Mo,27.07.,2020-07-27 05:45:00,0 days 00:20:00.000000000,2020-07-27 06:05:00
34,RTL,Guten Morgen Deutschland  D,Magazin,,Mo,27.07.,2020-07-27 06:00:00,0 days 02:30:00.000000000,2020-07-27 08:30:00
35,PRO7,Eine schrecklich nette Familie  USA 1996,Comedyserie,Serie,Mo,27.07.,2020-07-27 06:00:00,0 days 00:30:00.000000000,2020-07-27 06:30:00
36,VOX,CSI: NY  USA 2004,Krimiserie,Serie,Mo,27.07.,2020-07-27 06:00:00,0 days 00:50:00.000000000,2020-07-27 06:50:00
37,TELE5,Joyce Meyer – Das Leben genießen,Kirchenprogramm,Report,Mo,27.07.,2020-07-27 06:00:00,0 days 00:25:00.000000000,2020-07-27 06:25:00
38,DMAX,Die Gebrauchtwagen-Profis – Neuer Glanz für alte Kisten  GB,Dokusoap,Unterhaltung,Mo,27.07.,2020-07-27 06:00:00,0 days 00:55:00.000000000,2020-07-27 06:55:00
39,CC,Takeshi's Castle Thailand,Gameshow,Unterhaltung,Mo,27.07.,2020-07-27 06:00:00,0 days 00:26:00.000000000,2020-07-27 06:26:00
40,RTLPL,Das Familiengericht  D,Gerichtsshow,Unterhaltung,Mo,27.07.,2020-07-27 06:00:00,0 days 00:45:00.000000000,2020-07-27 06:45:00
41,K1,Unsere kleine Farm  USA 1975,Familienserie,Serie,Mo,27.07.,2020-07-27 06:05:00,0 days 00:55:00.000000000,2020-07-27 07:00:00
42,3SAT,"San Sebastián – Kulinarik, Kunst und Tamborrada  D 2016",Reportage,Report,Mo,27.07.,2020-07-27 06:05:00,0 days 00:15:00.000000000,2020-07-27 06:20:00
43,RTL-N,Das Strafgericht  D,Gerichtsshow,Unterhaltung,Mo,27.07.,2020-07-27 06:05:00,0 days 00:50:00.000000000,2020-07-27 06:55:00
44,SAT1G,Kojak – Einsatz in Manhattan  USA 1976,Krimiserie,Serie,Mo,27.07.,2020-07-27 06:05:00,0 days 00:55:00.000000000,2020-07-27 07:00:00
45,PRO7M,Ice Road Truckers – Gefahr auf dem Eis  USA 2008,Dokusoap,Report,Mo,27.07.,2020-07-27 06:05:00,0 days 00:50:00.000000000,2020-07-27 06:55:00
46,RTL2,Privatdetektive im Einsatz,Dokusoap,Unterhaltung,Mo,27.07.,2020-07-27 06:20:00,0 days 01:00:00.000000000,2020-07-27 07:20:00
47,3SAT,Kino Kanak. Warum der deutsche Film Migranten braucht  D 2020,Doku,Report,Mo,27.07.,2020-07-27 06:20:00,0 days 00:40:00.000000000,2020-07-27 07:00:00
48,SIXX,Grey's Anatomy – Die jungen Ärzte  USA 2012,Ärzteserie,Serie,Mo,27.07.,2020-07-27 06:20:00,0 days 00:55:00.000000000,2020-07-27 07:15:00
49,TELE5,Dauerwerbesendung,Werbesendung,,Mo,27.07.,2020-07-27 06:25:00,0 days 01:00:00.000000000,2020-07-27 07:25:00
50,CC,Takeshi's Castle Thailand,Gameshow,Unterhaltung,Mo,27.07.,2020-07-27 06:26:00,0 days 00:25:00.000000000,2020-07-27 06:51:00
51,PRO7,Eine schrecklich nette Familie  USA 1996,Comedyserie,Serie,Mo,27.07.,2020-07-27 06:30:00,0 days 00:25:00.000000000,2020-07-27 06:55:00
52,FES,kinokino  D,Kinomagazin,Unterhaltung,Mo,27.07.,2020-07-27 06:35:00,0 days 00:15:00.000000000,2020-07-27 06:50:00
53,ARTE,Xenius: Kakao  D,Wissensmagazin,Report,Mo,27.07.,2020-07-27 06:40:00,0 days 00:30:00.000000000,2020-07-27 07:10:00
54,RTLPL,Das Familiengericht  D,Gerichtsshow,Unterhaltung,Mo,27.07.,2020-07-27 06:45:00,0 days 00:45:00.000000000,2020-07-27 07:30:00
55,VOX,CSI: Den Tätern auf der Spur  USA/Kan. 2003,Krimiserie,Serie,Mo,27.07.,2020-07-27 06:50:00,0 days 00:55:00.000000000,2020-07-27 07:45:00
56,2NEO,Terra Xpress  D,Wissensmagazin,Report,Mo,27.07.,2020-07-27 06:50:00,0 days 00:30:00.000000000,2020-07-27 07:20:00
57,FES,Quarks: Lebenswichtig und gefürchtet – was Salz mit uns macht  D,Wissenschaftsmagazin,Report,Mo,27.07.,2020-07-27 06:50:00,0 days 00:45:00.000000000,2020-07-27 07:35:00
58,CC,Takeshi's Castle Thailand,Gameshow,Unterhaltung,Mo,27.07.,2020-07-27 06:51:00,0 days 00:25:00.000000000,2020-07-27 07:16:00
59,PRO7,Eine schrecklich nette Familie  USA 1996,Comedyserie,Serie,Mo,27.07.,2020-07-27 06:55:00,0 days 00:25:00.000000000,2020-07-27 07:20:00
60,RTL-N,Das Strafgericht  D,Gerichtsshow,Unterhaltung,Mo,27.07.,2020-07-27 06:55:00,0 days 00:40:00.000000000,2020-07-27 07:35:00
61,DMAX,Infomercial,Werbesendung,,Mo,27.07.,2020-07-27 06:55:00,0 days 02:00:00.000000000,2020-07-27 08:55:00
62,PRO7M,Ice Road Truckers – Gefahr auf dem Eis  USA 2008,Dokusoap,Report,Mo,27.07.,2020-07-27 06:55:00,0 days 00:50:00.000000000,2020-07-27 07:45:00
63,K1,Unsere kleine Farm  USA 1975,Familienserie,Serie,Mo,27.07.,2020-07-27 07:00:00,0 days 00:55:00.000000000,2020-07-27 07:55:00
64,3SAT,Wolf im Fadenkreuz  D 2019,Reportage,Report,Mo,27.07.,2020-07-27 07:00:00,0 days 00:30:00.000000000,2020-07-27 07:30:00
65,SAT1G,Kojak – Einsatz in Manhattan  USA 1976,Krimiserie,Serie,Mo,27.07.,2020-07-27 07:00:00,0 days 00:50:00.000000000,2020-07-27 07:50:00
66,ARTE,Arte Journal Junior  F/D,Kindernachrichten,Kinder  ab 8 Jahren,Mo,27.07.,2020-07-27 07:10:00,0 days 00:05:00.000000000,2020-07-27 07:15:00
67,ARTE,GEO Reportage  F/D 2020,Dokureihe,Report,Mo,27.07.,2020-07-27 07:15:00,0 days 00:45:00.000000000,2020-07-27 08:00:00
68,SIXX,Verliebt in Berlin  D 2006,Telenovela,Serie,Mo,27.07.,2020-07-27 07:15:00,0 days 00:30:00.000000000,2020-07-27 07:45:00
69,CC,The Cleveland Show  USA 2011,Zeichentrickserie,Serie,Mo,27.07.,2020-07-27 07:16:00,0 days 00:26:00.000000000,2020-07-27 07:42:00
70,PRO7,Eine schrecklich nette Familie  USA 1996,Comedyserie,Serie,Mo,27.07.,2020-07-27 07:20:00,0 days 00:25:00.000000000,2020-07-27 07:45:00
71,RTL2,Privatdetektive im Einsatz,Dokusoap,Unterhaltung,Mo,27.07.,2020-07-27 07:20:00,0 days 01:00:00.000000000,2020-07-27 08:20:00
72,2NEO,Kerners Köche,Kochshow,Unterhaltung,Mo,27.07.,2020-07-27 07:20:00,0 days 00:45:00.000000000,2020-07-27 08:05:00
73,TELE5,Joyce Meyer – Das Leben genießen,Kirchenprogramm,Report,Mo,27.07.,2020-07-27 07:25:00,0 days 00:30:00.000000000,2020-07-27 07:55:00
74,3SAT,Alpenpanorama,Naturdoku,Report,Mo,27.07.,2020-07-27 07:30:00,0 days 00:30:00.000000000,2020-07-27 08:00:00
75,RTLPL,Das Jugendgericht,Gerichtsshow,Unterhaltung,Mo,27.07.,2020-07-27 07:30:00,0 days 00:50:00.000000000,2020-07-27 08:20:00
76,FES,Party of Five  USA 1999,Teenagerserie,Serie,Mo,27.07.,2020-07-27 07:35:00,0 days 00:40:00.000000000,2020-07-27 08:15:00
77,RTL-N,Law & Order  USA 2009,Krimiserie,Serie,Mo,27.07.,2020-07-27 07:35:00,0 days 00:45:00.000000000,2020-07-27 08:20:00
78,CC,The Cleveland Show  USA 2009,Zeichentrickserie,Serie,Mo,27.07.,2020-07-27 07:42:00,0 days 00:20:00.000000000,2020-07-27 08:02:00
79,PRO7,Last Man Standing  USA 2013,Comedyserie,Serie,Mo,27.07.,2020-07-27 07:45:00,0 days 00:25:00.000000000,2020-07-27 08:10:00
80,VOX,CSI: Den Tätern auf der Spur  USA/Kan. 2003,Krimiserie,Serie,Mo,27.07.,2020-07-27 07:45:00,0 days 00:55:00.000000000,2020-07-27 08:40:00
81,SIXX,Verliebt in Berlin  D 2006,Telenovela,Serie,Mo,27.07.,2020-07-27 07:45:00,0 days 00:30:00.000000000,2020-07-27 08:15:00
82,PRO7M,Ice Road Truckers – Gefahr auf dem Eis  USA 2008,Dokusoap,Report,Mo,27.07.,2020-07-27 07:45:00,0 days 00:40:00.000000000,2020-07-27 08:25:00
83,SAT1G,Infomercials,Werbesendung,,Mo,27.07.,2020-07-27 07:50:00,0 days 02:00:00.000000000,2020-07-27 09:50:00
84,K1,Navy CIS: L.A.  USA 2015,Krimiserie,Serie,Mo,27.07.,2020-07-27 07:55:00,0 days 00:55:00.000000000,2020-07-27 08:50:00
85,TELE5,Dauerwerbesendung,Werbesendung,,Mo,27.07.,2020-07-27 07:55:00,0 days 02:00:00.000000000,2020-07-27 09:55:00
86,3SAT,ZiB,Nachrichten,,Mo,27.07.,2020-07-27 08:00:00,0 days 00:05:00.000000000,2020-07-27 08:05:00
87,ARTE,Patina-Paradiese  F 2018,Dokureihe,Report,Mo,27.07.,2020-07-27 08:00:00,0 days 00:45:00.000000000,2020-07-27 08:45:00
88,CC,Bob's Burgers  USA 2012,Comedyserie,Serie,Mo,27.07.,2020-07-27 08:02:00,0 days 00:23:00.000000000,2020-07-27 08:25:00
89,3SAT,Alpenpanorama,Naturdoku,Report,Mo,27.07.,2020-07-27 08:05:00,0 days 00:25:00.000000000,2020-07-27 08:30:00
90,2NEO,Topfgeldjäger  D,Kochshow,Unterhaltung,Mo,27.07.,2020-07-27 08:05:00,0 days 00:55:00.000000000,2020-07-27 09:00:00
91,PRO7,Last Man Standing  USA 2016,Comedyserie,Serie,Mo,27.07.,2020-07-27 08:10:00,0 days 00:25:00.000000000,2020-07-27 08:35:00
92,FES,Party of Five  USA 1999,Teenagerserie,Serie,Mo,27.07.,2020-07-27 08:15:00,0 days 00:45:00.000000000,2020-07-27 09:00:00
93,SIXX,Verliebt in Berlin  D 2006,Telenovela,Serie,Mo,27.07.,2020-07-27 08:15:00,0 days 00:30:00.000000000,2020-07-27 08:45:00
94,RTL2,Die Straßencops – Jugend im Visier  2015,Reportage,Report,Mo,27.07.,2020-07-27 08:20:00,0 days 01:00:00.000000000,2020-07-27 09:20:00
95,RTL-N,Law & Order  USA 2009,Krimiserie,Serie,Mo,27.07.,2020-07-27 08:20:00,0 days 00:50:00.000000000,2020-07-27 09:10:00
96,RTLPL,Das Jugendgericht,Gerichtsshow,Unterhaltung,Mo,27.07.,2020-07-27 08:20:00,0 days 00:55:00.000000000,2020-07-27 09:15:00
97,PRO7M,Ice Road Truckers – Gefahr auf dem Eis  USA 2008,Dokusoap,Report,Mo,27.07.,2020-07-27 08:25:00,0 days 00:50:00.000000000,2020-07-27 09:15:00
98,CC,Bob's Burgers  USA 2012,Comedyserie,Serie,Mo,27.07.,2020-07-27 08:25:00,0 days 00:24:00.000000000,2020-07-27 08:49:00
99,RTL,"Gute Zeiten, schlechte Zeiten  D 2020",Daily Soap,Serie,Mo,27.07.,2020-07-27 08:30:00,0 days 00:30:00.000000000,2020-07-27 09:00:00
100,3SAT,ZiB,Nachrichten,,Mo,27.07.,2020-07-27 08:30:00,0 days 00:03:00.000000000,2020-07-27 08:33:00
101,3SAT,Alpenpanorama,Naturdoku,Report,Mo,27.07.,2020-07-27 08:33:00,0 days 00:27:00.000000000,2020-07-27 09:00:00
102,PRO7,Last Man Standing  USA 2016,Comedyserie,Serie,Mo,27.07.,2020-07-27 08:35:00,0 days 00:25:00.000000000,2020-07-27 09:00:00
103,VOX,Verklag mich doch!  D,Realitydoku,Unterhaltung,Mo,27.07.,2020-07-27 08:40:00,0 days 01:05:00.000000000,2020-07-27 09:45:00
104,ARTE,Stadt Land Kunst  F,Magazin,Report,Mo,27.07.,2020-07-27 08:45:00,0 days 00:40:00.000000000,2020-07-27 09:25:00
105,SIXX,Verliebt in Berlin  D 2006,Telenovela,Serie,Mo,27.07.,2020-07-27 08:45:00,0 days 00:30:00.000000000,2020-07-27 09:15:00
106,CC,South Park  USA 2003,Zeichentrickserie,Serie,Mo,27.07.,2020-07-27 08:49:00,0 days 00:24:00.000000000,2020-07-27 09:13:00
107,K1,Navy CIS  USA 2008,Krimiserie,Serie,Mo,27.07.,2020-07-27 08:50:00,0 days 00:50:00.000000000,2020-07-27 09:40:00
108,DMAX,Hardcore Pawn – Das härteste Pfandhaus Detroits  USA,Dokusoap,Unterhaltung,Mo,27.07.,2020-07-27 08:55:00,0 days 00:25:00.000000000,2020-07-27 09:20:00
109,ARD,Tagesschau  D,Nachrichten,,Mo,27.07.,2020-07-27 09:00:00,0 days 00:05:00.000000000,2020-07-27 09:05:00
110,ZDF,heute Xpress,Nachrichten,,Mo,27.07.,2020-07-27 09:00:00,0 days 00:05:00.000000000,2020-07-27 09:05:00
111,RTL,Unter uns  D 2020,Daily Soap,Serie,Mo,27.07.,2020-07-27 09:00:00,0 days 00:30:00.000000000,2020-07-27 09:30:00
112,PRO7,How I Met Your Mother  USA 2008,Sitcom,Serie,Mo,27.07.,2020-07-27 09:00:00,0 days 00:30:00.000000000,2020-07-27 09:30:00
113,3SAT,ZiB,Nachrichten,,Mo,27.07.,2020-07-27 09:00:00,0 days 00:05:00.000000000,2020-07-27 09:05:00
114,2NEO,"Stadt, Land, Lecker  D",Kochduell,Unterhaltung,Mo,27.07.,2020-07-27 09:00:00,0 days 00:45:00.000000000,2020-07-27 09:45:00
115,FES,Brisant,Boulevardmagazin,Unterhaltung,Mo,27.07.,2020-07-27 09:00:00,0 days 00:30:00.000000000,2020-07-27 09:30:00
116,ARD,Live nach Neun  D,Magazin,Unterhaltung,Mo,27.07.,2020-07-27 09:05:00,0 days 00:50:00.000000000,2020-07-27 09:55:00
117,ZDF,Volle Kanne – Service täglich  D,Verbrauchertipps,Report,Mo,27.07.,2020-07-27 09:05:00,0 days 01:25:00.000000000,2020-07-27 10:30:00
118,3SAT,Kino Kanak. Warum der deutsche Film Migranten braucht  D 2020,Doku,Report,Mo,27.07.,2020-07-27 09:09:00,0 days 00:38:00.000000000,2020-07-27 09:47:00
119,RTL-N,Burn Notice  USA 2012,Actionserie,Serie,Mo,27.07.,2020-07-27 09:10:00,0 days 00:45:00.000000000,2020-07-27 09:55:00
120,SERVU,Servus Wetter  A,Wetterbericht,Report,Mo,27.07.,2020-07-27 09:13:00,0 days 00:02:00.000000000,2020-07-27 09:15:00
121,CC,South Park  USA 2003,Zeichentrickserie,Serie,Mo,27.07.,2020-07-27 09:13:00,0 days 00:31:00.000000000,2020-07-27 09:44:00
122,SERVU,P.M. Wissen  A,Wissensmagazin,Report,Mo,27.07.,2020-07-27 09:15:00,0 days 01:00:00.000000000,2020-07-27 10:15:00
123,SIXX,Anna und die Liebe  D 2012,Telenovela,Serie,Mo,27.07.,2020-07-27 09:15:00,0 days 00:25:00.000000000,2020-07-27 09:40:00
124,PRO7M,Infomercials,Werbesendung,,Mo,27.07.,2020-07-27 09:15:00,0 days 01:00:00.000000000,2020-07-27 10:15:00
125,RTLPL,Das Jugendgericht,Gerichtsshow,Unterhaltung,Mo,27.07.,2020-07-27 09:15:00,0 days 00:50:00.000000000,2020-07-27 10:05:00
126,RTL2,Die Straßencops – Jugend im Visier  2015,Reportage,Report,Mo,27.07.,2020-07-27 09:20:00,0 days 01:00:00.000000000,2020-07-27 10:20:00
127,DMAX,Hardcore Pawn – Das härteste Pfandhaus Detroits  USA,Dokusoap,Unterhaltung,Mo,27.07.,2020-07-27 09:20:00,0 days 00:30:00.000000000,2020-07-27 09:50:00
128,ARTE,360° Geo-Reportage  D/F 2007,Reportage,Report,Mo,27.07.,2020-07-27 09:25:00,0 days 00:55:00.000000000,2020-07-27 10:20:00
129,RTL,Alles was zählt  D 2020,Daily Soap,Serie,Mo,27.07.,2020-07-27 09:30:00,0 days 00:30:00.000000000,2020-07-27 10:00:00
130,PRO7,How I Met Your Mother  USA 2008,Sitcom,Serie,Mo,27.07.,2020-07-27 09:30:00,0 days 00:25:00.000000000,2020-07-27 09:55:00
131,FES,kinokino  D,Kinomagazin,Unterhaltung,Mo,27.07.,2020-07-27 09:30:00,0 days 00:15:00.000000000,2020-07-27 09:45:00
132,K1,Blue Bloods – Crime Scene New York  USA 2014,Krimiserie,Serie,Mo,27.07.,2020-07-27 09:40:00,0 days 00:50:00.000000000,2020-07-27 10:30:00
133,SIXX,Anna und die Liebe  D 2012,Telenovela,Serie,Mo,27.07.,2020-07-27 09:40:00,0 days 00:30:00.000000000,2020-07-27 10:10:00
134,CC,South Park  USA 2004,Zeichentrickserie,Serie,Mo,27.07.,2020-07-27 09:44:00,0 days 00:26:00.000000000,2020-07-27 10:10:00
135,VOX,Verklag mich doch!  D,Realitydoku,Unterhaltung,Mo,27.07.,2020-07-27 09:45:00,0 days 01:05:00.000000000,2020-07-27 10:50:00
136,2NEO,Bares für Rares  D,Trödelshow,Unterhaltung,Mo,27.07.,2020-07-27 09:45:00,0 days 00:50:00.000000000,2020-07-27 10:35:00
137,FES,Geld.Macht.Liebe  D 2009,Familienserie,Serie,Mo,27.07.,2020-07-27 09:45:00,0 days 00:45:00.000000000,2020-07-27 10:30:00
138,3SAT,Notizen aus dem Ausland,Kurznachrichten,,Mo,27.07.,2020-07-27 09:47:00,0 days 00:09:00.000000000,2020-07-27 09:56:00
139,DMAX,Infomercial,Werbesendung,,Mo,27.07.,2020-07-27 09:50:00,0 days 00:25:00.000000000,2020-07-27 10:15:00
140,SAT1G,Unsere kleine Farm  USA 1981,Familienserie,Serie,Mo,27.07.,2020-07-27 09:50:00,0 days 00:50:00.000000000,2020-07-27 10:40:00
141,ARD,In aller Freundschaft – Die jungen Ärzte  D 2018,Krankenhausserie,Serie,Mo,27.07.,2020-07-27 09:55:00,0 days 00:50:00.000000000,2020-07-27 10:45:00
142,PRO7,How I Met Your Mother  USA 2008,Sitcom,Serie,Mo,27.07.,2020-07-27 09:55:00,0 days 00:25:00.000000000,2020-07-27 10:20:00
143,TELE5,Dauerwerbesendung,Werbesendung,,Mo,27.07.,2020-07-27 09:55:00,0 days 02:00:00.000000000,2020-07-27 11:55:00
144,RTL-N,Burn Notice  USA 2012,Actionserie,Serie,Mo,27.07.,2020-07-27 09:55:00,0 days 00:40:00.000000000,2020-07-27 10:35:00
145,3SAT,Wolf im Fadenkreuz  D 2019,Reportage,Report,Mo,27.07.,2020-07-27 09:55:00,0 days 00:30:00.000000000,2020-07-27 10:25:00
146,RTL,Der Blaulicht Report  D,Dokusoap,Unterhaltung,Mo,27.07.,2020-07-27 10:00:00,0 days 01:00:00.000000000,2020-07-27 11:00:00
147,SAT1,Im Namen der Gerechtigkeit – Wir kämpfen für Sie!  D,Realitysoap,Unterhaltung,Mo,27.07.,2020-07-27 10:00:00,0 days 01:00:00.000000000,2020-07-27 11:00:00
148,RTLPL,Die Schulermittler  D,Dokusoap,Unterhaltung,Mo,27.07.,2020-07-27 10:05:00,0 days 00:30:00.000000000,2020-07-27 10:35:00
149,SIXX,Anna und die Liebe  D 2012,Telenovela,Serie,Mo,27.07.,2020-07-27 10:10:00,0 days 00:30:00.000000000,2020-07-27 10:40:00
150,CC,American Dad  USA 2011,Zeichentrickserie,Serie,Mo,27.07.,2020-07-27 10:10:00,0 days 00:24:00.000000000,2020-07-27 10:34:00
151,SERVU,Pompeji – Die verlorene Stadt  2016,Doku,Report,Mo,27.07.,2020-07-27 10:15:00,0 days 00:55:00.000000000,2020-07-27 11:10:00
152,DMAX,Steel Buddies – Stahlharte Geschäfte  D,Doku,Unterhaltung,Mo,27.07.,2020-07-27 10:15:00,0 days 01:00:00.000000000,2020-07-27 11:15:00
153,PRO7M,Border Patrol New Zealand – Einsatz an der Grenze  NZ 2019,Doku,Report,Mo,27.07.,2020-07-27 10:15:00,0 days 00:30:00.000000000,2020-07-27 10:45:00
154,PRO7,How I Met Your Mother  USA 2008,Sitcom,Serie,Mo,27.07.,2020-07-27 10:20:00,0 days 00:30:00.000000000,2020-07-27 10:50:00
155,RTL2,Frauentausch  D,Dokusoap,Unterhaltung,Mo,27.07.,2020-07-27 10:20:00,0 days 01:55:00.000000000,2020-07-27 12:15:00
156,ARTE,360° Geo-Reportage  D/F 2007,Reportage,Report,Mo,27.07.,2020-07-27 10:20:00,0 days 00:55:00.000000000,2020-07-27 11:15:00
157,3SAT,Die Odyssee der einsamen Wölfe  D,Geschichtsdoku,Report,Mo,27.07.,2020-07-27 10:27:00,0 days 00:44:00.000000000,2020-07-27 11:11:00
158,ZDF,Notruf Hafenkante  D 2011,Polizeiserie,Serie,Mo,27.07.,2020-07-27 10:30:00,0 days 00:45:00.000000000,2020-07-27 11:15:00
159,K1,Blue Bloods – Crime Scene New York  USA 2014,Krimiserie,Serie,Mo,27.07.,2020-07-27 10:30:00,0 days 00:55:00.000000000,2020-07-27 11:25:00
160,FES,Lindenstraße  D 2019,Familienserie,Serie,Mo,27.07.,2020-07-27 10:30:00,0 days 00:30:00.000000000,2020-07-27 11:00:00
161,CC,American Dad  USA,Zeichentrickserie,Serie,Mo,27.07.,2020-07-27 10:34:00,0 days 00:24:00.000000000,2020-07-27 10:58:00
162,2NEO,Bares für Rares  D,Trödelshow,Unterhaltung,Mo,27.07.,2020-07-27 10:35:00,0 days 00:55:00.000000000,2020-07-27 11:30:00
163,RTL-N,J.A.G. – Im Auftrag der Ehre  USA 1995,Actionserie,Serie,Mo,27.07.,2020-07-27 10:35:00,0 days 01:40:00.000000000,2020-07-27 12:15:00
164,RTLPL,Die Schulermittler  D,Dokusoap,Unterhaltung,Mo,27.07.,2020-07-27 10:35:00,0 days 00:25:00.000000000,2020-07-27 11:00:00
165,SIXX,Anna und die Liebe  D 2012,Telenovela,Serie,Mo,27.07.,2020-07-27 10:40:00,0 days 00:30:00.000000000,2020-07-27 11:10:00
